Year,Mining and quarrying,Energy,Water supply,Sewerage and waste,Support activities for transportation,Telecommunications,Other
1997,7167,635,2782,1838,489,2000,1473
1998,9531,1219,2479,1317,1031,892,1623
1999,6743,1602,3240,1550,1059,1797,1411
2000,5137,791,3465,1267,1267,2395,1390
2001,6308,735,780,1407,1290,2647,1480
2002,6580,349,953,1355,1771,681,1282
2003,5074,237,1017,1725,2479,599,1369
2004,4622,684,1254,1678,1596,1087,1298
2005,3531,1919,1379,1585,1041,465,1202
2006,6140,2729,1728,1656,878,394,1161
2007,5649,3814,1240,1463,623,504,1444
2008,4187,3961,896,1499,662,424,1066
2009,4181,3248,1205,866,349,131,830
2010,3311,3493,1014,709,353,99,882
2011,4835,4166,1142,498,380,263,1138
2012,6838,4765,1266,468,332,444,1263
2013,8403,5295,1466,567,439,541,1188
2014,10051,4807,1046,568,319,529,1061
2015,9415,6456,1222,835,382,981,1268
2016,9099,6994,1494,722,419,1508,1203
2017,4333,6868,1820,683,398,1293,1248
2018,5055,6109,1821,728,483,1244,1464
2019,4947,6296,1922,403,484,1052,1948
2020,3240,5005,1090,192,333,622,1539
2021,2599,5018,609,298,324,463,1547
